transaction_id,customer_id,loan_id,transaction_ts,transaction_type,payment_method,amount,currency,transaction_status
T0000087,C00039,L000773,2025-01-27T00:00:00,CHARGEBACK,PSE,212012,COP,FAILED
T0000088,C00364,L000340,2023-10-02T00:00:00,REPAYMENT,TRANSFER,255385,COP,PENDING
T0000089,C00384,L000383,2024-06-20T00:00:00,CHARGEBACK,TRANSFER,115397,COP,PENDING
T0000090,C00337,L000142,2023-02-09T00:00:00,CHARGEBACK,TRANSFER,64487,COP,PENDING
T0000091,C00263,L000929,2024-11-02T00:00:00,FEE,TRANSFER,226533,COP,PENDING
T0000092,C00220,L000368,2023-06-20T00:00:00,REPAYMENT,CARD,111888,COP,FAILED
T0000093,C00297,L000957,2023-10-04T00:00:00,FEE,CARD,269759,COP,PENDING
T0000094,C00483,L000192,2025-03-19T00:00:00,CHARGEBACK,PSE,269514,COP,FAILED
T0000095,C00025,L000012,2024-04-22T00:00:00,DISBURSEMENT,CARD,16040,COP,SETTLED
T0000096,C00041,L000659,2025-06-17T00:00:00,CHARGEBACK,TRANSFER,158789,COP,PENDING
T0000097,C00175,L001152,2023-12-17T00:00:00,REPAYMENT,CARD,314970,COP,FAILED
T0000098,C00226,L000574,2025-05-16T00:00:00,FEE,PSE,324922,COP,SETTLED
T0000099,C00392,L000609,2024-03-28T00:00:00,FEE,PSE,250761,COP,SETTLED
T0000100,C00093,L000041,2023-04-08T00:00:00,FEE,CASH_NETWORK,278766,COP,FAILED
T0000101,C00448,L001006,2024-04-13T00:00:00,DISBURSEMENT,CARD,279405,COP,FAILED
T0000102,C00106,L000976,2024-12-03T00:00:00,CHARGEBACK,CARD,-29230,COP,PENDING
T0000103,C00242,L000285,2024-08-09T00:00:00,DISBURSEMENT,PSE,101743,COP,SETTLED
T0000104,C00138,L000375,2025-06-06T00:00:00,FEE,CARD,74405,COP,SETTLED
T0000105,C00079,L000105,2023-03-27T00:00:00,REPAYMENT,PSE,288246,COP,FAILED
T0000106,C00364,L000792,2025-02-05T00:00:00,FEE,TRANSFER,127424,COP,SETTLED
T0000107,C00209,L000699,2025-02-21T00:00:00,FEE,CASH_NETWORK,476,COP,PENDING
T0000108,C00447,L000769,2023-06-01T00:00:00,FEE,CASH_NETWORK,407801,COP,PENDING
T0000109,C00262,L000308,2024-06-03T00:00:00,REPAYMENT,CASH_NETWORK,113672,COP,SETTLED
T0000110,C00356,L000573,2023-01-28T00:00:00,DISBURSEMENT,TRANSFER,100241,COP,FAILED
T0000111,C00502,L000881,2024-05-08T00:00:00,REPAYMENT,TRANSFER,321478,COP,FAILED
T0000112,C00397,L000635,2024-01-11T00:00:00,FEE,CASH_NETWORK,137409,COP,PENDING
T0000113,C00008,L000872,2023-02-12T00:00:00,CHARGEBACK,TRANSFER,341347,COP,SETTLED
T0000114,C00262,L000363,2025-06-17T00:00:00,FEE,TRANSFER,108070,COP,SETTLED
T0000115,C00223,L000164,2024-09-15T00:00:00,REPAYMENT,PSE,77641,COP,SETTLED
T0000116,C00116,L001161,2024-03-25T00:00:00,FEE,CARD,201678,COP,PENDING
T0000117,C00147,L000572,2025-02-11T00:00:00,REPAYMENT,CARD,45093,COP,PENDING
T0000118,C00440,L000318,2024-05-23T00:00:00,CHARGEBACK,PSE,88396,COP,SETTLED
T0000119,C00237,L000761,2023-04-17T00:00:00,FEE,CASH_NETWORK,76051,COP,PENDING
T0000120,C00403,L000239,2025-03-04T00:00:00,CHARGEBACK,PSE,90049,COP,PENDING
T0000121,C00173,L000525,2023-11-22T00:00:00,DISBURSEMENT,CASH_NETWORK,108091,COP,FAILED
T0000122,C00303,L001092,2023-10-26T00:00:00,REPAYMENT,CASH_NETWORK,369291,COP,PENDING
T0000123,C00152,L000522,2024-01-18T00:00:00,DISBURSEMENT,CARD,173315,COP,PENDING
T0000124,C00089,L000618,2025-01-20T00:00:00,DISBURSEMENT,CARD,250925,COP,FAILED
T0000125,C00196,L000002,2024-01-07T00:00:00,FEE,CARD,176268,COP,PENDING
T0000126,C00008,L000656,2023-05-23T00:00:00,DISBURSEMENT,CARD,228061,COP,FAILED
T0000127,C00477,L000645,2023-05-18T00:00:00,CHARGEBACK,TRANSFER,212258,COP,SETTLED
T0000128,C00422,L000671,2023-01-06T00:00:00,FEE,PSE,291112,COP,FAILED
T0000129,C00221,L000481,2025-02-12T00:00:00,FEE,PSE,91827,COP,PENDING
T0000130,C00314,L000141,2025-05-30T00:00:00,REPAYMENT,CARD,120826,COP,FAILED
T0000131,C00110,L001004,2024-05-25T00:00:00,CHARGEBACK,PSE,244625,COP,FAILED
T0000132,C00036,L000027,2023-11-30T00:00:00,DISBURSEMENT,TRANSFER,89222,COP,SETTLED
T0000133,C00021,L001188,2025-05-13T00:00:00,FEE,CARD,234390,COP,FAILED
T0000134,C00158,L000171,2023-07-11T00:00:00,REPAYMENT,CASH_NETWORK,250264,COP,FAILED
T0000135,C00127,L000197,2024-06-07T00:00:00,REPAYMENT,TRANSFER,285411,COP,SETTLED
T0000136,C00056,L001067,2024-02-25T00:00:00,CHARGEBACK,PSE,217249,COP,FAILED
T0000137,C00084,L000518,2023-03-04T00:00:00,DISBURSEMENT,TRANSFER,149630,COP,SETTLED
T0000138,C00307,L001157,2024-04-12T00:00:00,CHARGEBACK,TRANSFER,302487,COP,SETTLED
T0000139,C00167,L000892,2023-03-03T00:00:00,FEE,CARD,193688,COP,SETTLED
T0000140,C00037,L000648,2024-08-24T00:00:00,REPAYMENT,CASH_NETWORK,359140,COP,FAILED
T0000141,C00006,L000059,2023-01-11T00:00:00,FEE,CARD,197957,COP,FAILED
T0000142,C00121,L000354,2023-07-01T00:00:00,FEE,CASH_NETWORK,248422,COP,SETTLED
T0000143,C00224,L001185,2024-04-01T00:00:00,DISBURSEMENT,PSE,190219,COP,SETTLED
T0000144,C00453,L001140,2024-03-14T00:00:00,FEE,PSE,237796,COP,FAILED
T0000145,C00393,L000767,2023-07-23T00:00:00,DISBURSEMENT,TRANSFER,196124,COP,PENDING
T0000146,C00133,L001130,2024-09-20T00:00:00,CHARGEBACK,TRANSFER,278844,COP,FAILED
T0000147,C00090,L001058,2023-11-07T00:00:00,FEE,CARD,140451,COP,PENDING
T0000148,C00170,L000373,2024-11-20T00:00:00,DISBURSEMENT,CASH_NETWORK,230786,COP,PENDING
T0000149,C00229,L001191,2023-02-10T00:00:00,CHARGEBACK,CARD,330942,COP,SETTLED
T0000150,C00460,L001139,2023-01-10T00:00:00,CHARGEBACK,TRANSFER,218867,COP,SETTLED
T0000151,C00138,L000090,2024-09-21T00:00:00,DISBURSEMENT,PSE,190090,COP,FAILED
T0000152,C00423,L001199,2023-01-17T00:00:00,CHARGEBACK,CASH_NETWORK,111480,COP,FAILED
T0000153,C00051,L000934,2024-07-22T00:00:00,CHARGEBACK,TRANSFER,257591,COP,SETTLED
T0000154,C00117,L000091,2023-05-17T00:00:00,REPAYMENT,PSE,328522,COP,FAILED
T0000155,C00337,L001010,2023-06-19T00:00:00,CHARGEBACK,CASH_NETWORK,198997,COP,PENDING
T0000156,C00075,L001115,2025-05-14T00:00:00,CHARGEBACK,TRANSFER,278929,COP,FAILED
T0000157,C00242,L000325,2024-08-10T00:00:00,REPAYMENT,TRANSFER,120579,COP,PENDING
T0000158,C00253,L000632,2025-05-27T00:00:00,CHARGEBACK,CASH_NETWORK,308284,COP,FAILED
T0000159,C00412,L000894,2024-10-25T00:00:00,REPAYMENT,CASH_NETWORK,325727,COP,PENDING
T0000160,C00180,L000840,2024-09-06T00:00:00,REPAYMENT,TRANSFER,151350,COP,PENDING
T0000161,C00326,L001179,2023-05-30T00:00:00,DISBURSEMENT,CARD,210918,COP,PENDING
T0000162,C00125,L001156,2025-03-07T00:00:00,CHARGEBACK,PSE,143985,COP,SETTLED
T0000163,C00360,L001199,2024-01-04T00:00:00,DISBURSEMENT,TRANSFER,333311,COP,SETTLED
T0000164,C00456,L000246,2024-05-10T00:00:00,CHARGEBACK,CARD,110777,COP,SETTLED
T0000165,C00018,L000952,2024-08-29T00:00:00,REPAYMENT,CASH_NETWORK,388287,COP,SETTLED
T0000166,C00005,L000093,2023-04-03T00:00:00,REPAYMENT,CARD,90589,COP,PENDING
T0000167,C00153,L000111,2024-04-11T00:00:00,DISBURSEMENT,CASH_NETWORK,116974,COP,FAILED
T0000168,C00143,L000331,2024-04-29T00:00:00,DISBURSEMENT,CASH_NETWORK,382498,COP,SETTLED
T0000169,C00431,L000559,2025-05-17T00:00:00,DISBURSEMENT,PSE,300948,COP,SETTLED
T0000170,C00079,L000195,2023-04-08T00:00:00,FEE,PSE,321661,COP,PENDING
T0000171,C00303,L001185,2025-06-17T00:00:00,DISBURSEMENT,CASH_NETWORK,255691,COP,PENDING
T0000172,C00296,L000862,2023-08-29T00:00:00,REPAYMENT,TRANSFER,253986,COP,FAILED
T0000173,C00188,L000307,2024-08-02T00:00:00,CHARGEBACK,TRANSFER,273601,COP,FAILED
T0000174,C00166,L000647,2025-05-15T00:00:00,FEE,TRANSFER,273195,COP,PENDING
T0000175,C00412,L000285,2024-02-13T00:00:00,FEE,CASH_NETWORK,345861,COP,FAILED
T0000176,C00180,L000408,2023-08-05T00:00:00,DISBURSEMENT,TRANSFER,168675,COP,SETTLED
T0000177,C00456,L000589,2024-12-06T00:00:00,CHARGEBACK,CARD,247654,COP,SETTLED
T0000178,C00084,L000675,2024-10-01T00:00:00,DISBURSEMENT,PSE,68318,COP,PENDING
T0000179,C00432,L000440,2023-09-15T00:00:00,REPAYMENT,PSE,314771,COP,PENDING
T0000180,C00194,L000442,2025-04-19T00:00:00,DISBURSEMENT,CARD,159219,COP,PENDING
T0000181,C00071,L000876,2023-08-10T00:00:00,FEE,CARD,201844,COP,FAILED
T0000182,C00149,L000448,2025-04-28T00:00:00,CHARGEBACK,TRANSFER,327675,COP,FAILED
T0000183,C00510,L001153,2023-07-09T00:00:00,DISBURSEMENT,TRANSFER,285317,COP,SETTLED
T0000184,C00069,L000954,2024-03-07T00:00:00,CHARGEBACK,PSE,82010,COP,FAILED
T0000185,C00027,L000848,2023-08-29T00:00:00,FEE,TRANSFER,165307,COP,SETTLED
T0000186,C00137,L000739,2025-03-15T00:00:00,REPAYMENT,PSE,218863,COP,PENDING
T0000187,C00510,L000485,2025-04-10T00:00:00,CHARGEBACK,TRANSFER,210909,COP,FAILED
T0000188,C00107,L000673,2024-06-27T00:00:00,REPAYMENT,TRANSFER,275879,COP,SETTLED
T0000189,C00464,L000264,2025-04-02T00:00:00,FEE,CASH_NETWORK,195814,COP,SETTLED
T0000190,C00271,L001030,2024-07-20T00:00:00,DISBURSEMENT,PSE,101308,COP,FAILED
T0000191,C00117,L000008,2024-04-26T00:00:00,DISBURSEMENT,CARD,455385,COP,SETTLED
T0000192,C00187,L000294,2025-01-13T00:00:00,REPAYMENT,TRANSFER,220359,COP,SETTLED
T0000193,C00339,L000096,2024-11-23T00:00:00,DISBURSEMENT,CARD,256646,COP,PENDING
T0000194,C00408,L000401,2023-11-28T00:00:00,DISBURSEMENT,CARD,200782,COP,PENDING
T0000195,C00056,L000231,2023-02-22T00:00:00,FEE,PSE,199567,COP,PENDING
T0000196,C00129,L000059,2023-07-06T00:00:00,REPAYMENT,TRANSFER,243858,COP,PENDING
T0000197,C00205,L000550,2023-11-27T00:00:00,FEE,PSE,35077,COP,FAILED
T0000198,C00262,L000831,2024-02-27T00:00:00,REPAYMENT,CARD,279297,COP,FAILED
T0000199,C00132,L000310,2023-10-15T00:00:00,REPAYMENT,CASH_NETWORK,263912,COP,FAILED
T0000200,C00092,L000595,2023-12-10T00:00:00,REPAYMENT,TRANSFER,120747,COP,FAILED
T0000201,C00490,L000491,2024-07-09T00:00:00,REPAYMENT,CARD,338934,COP,PENDING
T0000202,C00021,L000987,2025-06-02T00:00:00,FEE,CARD,274527,COP,PENDING
T0000203,C00252,L001092,2025-06-14T00:00:00,DISBURSEMENT,CARD,304043,COP,PENDING
T0000204,C00408,L000794,2024-11-05T00:00:00,FEE,CASH_NETWORK,303694,COP,SETTLED
T0000205,C00010,L000363,2023-11-26T00:00:00,FEE,TRANSFER,252497,COP,FAILED
T0000206,C00089,L000868,2024-10-30T00:00:00,REPAYMENT,TRANSFER,299517,COP,FAILED
T0000207,C00245,L000003,2024-12-06T00:00:00,CHARGEBACK,CASH_NETWORK,89879,COP,PENDING
T0000208,C00405,L000750,2025-04-23T00:00:00,DISBURSEMENT,PSE,72647,COP,PENDING
T0000209,C00063,L000838,2023-02-04T00:00:00,REPAYMENT,CARD,297572,COP,FAILED
T0000210,C00137,L000169,2023-12-30T00:00:00,DISBURSEMENT,TRANSFER,210085,COP,FAILED
T0000211,C00301,L000672,2023-01-04T00:00:00,REPAYMENT,CARD,198459,COP,PENDING
T0000212,C00443,L000392,2025-03-12T00:00:00,REPAYMENT,CASH_NETWORK,132926,COP,SETTLED
T0000213,C00247,L000300,2024-12-14T00:00:00,FEE,CARD,137957,COP,FAILED
T0000214,C00018,L000107,2024-09-30T00:00:00,REPAYMENT,TRANSFER,149578,COP,FAILED
T0000215,C00458,L000418,2024-07-12T00:00:00,DISBURSEMENT,CASH_NETWORK,91869,COP,SETTLED
T0000216,C00221,L000599,2024-01-27T00:00:00,DISBURSEMENT,PSE,266097,COP,PENDING
T0000217,C00431,L000172,2024-06-17T00:00:00,FEE,CASH_NETWORK,70636,COP,SETTLED
T0000218,C00272,L001033,2025-03-09T00:00:00,REPAYMENT,TRANSFER,385605,COP,FAILED
T0000219,C00096,L000398,2023-12-25T00:00:00,FEE,TRANSFER,101923,COP,PENDING
T0000220,C00200,L000614,2023-07-05T00:00:00,DISBURSEMENT,PSE,210552,COP,FAILED
T0000221,C00095,L001089,2024-12-17T00:00:00,CHARGEBACK,CARD,309288,COP,SETTLED
T0000222,C00123,L000635,2023-04-26T00:00:00,FEE,TRANSFER,156870,COP,SETTLED
T0000223,C00123,L001023,2023-05-19T00:00:00,FEE,TRANSFER,206676,COP,PENDING
T0000224,C00273,L000314,2024-09-22T00:00:00,REPAYMENT,CARD,190830,COP,SETTLED
T0000225,C00435,L000886,2023-08-19T00:00:00,DISBURSEMENT,TRANSFER,68088,COP,FAILED
T0000226,C00503,L000850,2024-04-04T00:00:00,DISBURSEMENT,PSE,306643,COP,SETTLED
T0000227,C00212,L000278,2023-04-02T00:00:00,CHARGEBACK,TRANSFER,95581,COP,SETTLED
T0000228,C00352,L001077,2023-09-27T00:00:00,DISBURSEMENT,PSE,177491,COP,SETTLED
T0000229,C00029,L000845,2023-09-10T00:00:00,DISBURSEMENT,PSE,84348,COP,FAILED
T0000230,C00013,L000464,2023-07-18T00:00:00,DISBURSEMENT,TRANSFER,132940,COP,FAILED
T0000231,C00283,L000006,2024-07-10T00:00:00,REPAYMENT,CARD,164359,COP,SETTLED
T0000232,C00178,L000741,2023-01-01T00:00:00,DISBURSEMENT,CASH_NETWORK,217697,COP,FAILED
T0000233,C00013,L000565,2024-06-30T00:00:00,REPAYMENT,PSE,316285,COP,FAILED
T0000234,C00027,L000574,2023-11-05T00:00:00,CHARGEBACK,CARD,187331,COP,FAILED
T0000235,C00509,L000862,2025-04-08T00:00:00,REPAYMENT,PSE,15958,COP,FAILED
T0000236,C00268,L000587,2024-10-22T00:00:00,REPAYMENT,CARD,214639,COP,PENDING
T0000237,C00146,L000318,2025-01-04T00:00:00,REPAYMENT,TRANSFER,242435,COP,SETTLED
T0000238,C00167,L000479,2025-01-23T00:00:00,REPAYMENT,CARD,117518,COP,PENDING
T0000239,C00440,L000802,2025-06-03T00:00:00,CHARGEBACK,TRANSFER,-87481,COP,PENDING
T0000240,C00471,L000126,2025-06-06T00:00:00,REPAYMENT,CARD,248604,COP,PENDING
T0000241,C00276,L000060,2024-09-20T00:00:00,DISBURSEMENT,CARD,202692,COP,FAILED
T0000242,C00028,L000323,2025-03-07T00:00:00,CHARGEBACK,PSE,58028,COP,PENDING
T0000243,C00400,L000342,2023-06-21T00:00:00,DISBURSEMENT,CASH_NETWORK,164539,COP,PENDING
T0000244,C00192,L000228,2024-02-17T00:00:00,FEE,CASH_NETWORK,252063,COP,FAILED
T0000245,C00409,L000857,2024-11-04T00:00:00,DISBURSEMENT,CASH_NETWORK,158857,COP,PENDING
T0000246,C00210,L001191,2024-01-03T00:00:00,DISBURSEMENT,CARD,124172,COP,PENDING
T0000247,C00323,L001199,2024-12-10T00:00:00,CHARGEBACK,CASH_NETWORK,226312,COP,PENDING
T0000248,C00187,L000961,2024-03-02T00:00:00,CHARGEBACK,PSE,220195,COP,FAILED
T0000249,C00456,L000885,2024-07-25T00:00:00,CHARGEBACK,CASH_NETWORK,218012,COP,PENDING
T0000250,C00385,L000647,2023-06-07T00:00:00,DISBURSEMENT,CARD,96686,COP,SETTLED
T0000251,C00230,L001152,2025-03-17T00:00:00,DISBURSEMENT,PSE,126961,COP,SETTLED
T0000252,C00191,L000352,2024-08-02T00:00:00,CHARGEBACK,CASH_NETWORK,406519,COP,FAILED
T0000253,C00244,L000449,2024-02-14T00:00:00,FEE,CARD,65116,COP,FAILED
T0000254,C00093,L000472,2023-09-28T00:00:00,FEE,CARD,209826,COP,FAILED
T0000255,C00017,L000188,2023-06-16T00:00:00,REPAYMENT,PSE,169666,COP,FAILED
T0000256,C00207,L000113,2024-12-22T00:00:00,FEE,TRANSFER,169150,COP,FAILED
T0000257,C00224,L000833,2024-01-24T00:00:00,DISBURSEMENT,CARD,176545,COP,FAILED
T0000258,C00466,L000611,2024-11-11T00:00:00,DISBURSEMENT,CARD,381071,COP,SETTLED
T0000259,C00420,L000595,2025-02-08T00:00:00,DISBURSEMENT,PSE,340749,COP,SETTLED
T0000260,C00335,L000187,2024-02-03T00:00:00,FEE,CARD,174488,COP,PENDING
T0000261,C00274,L000787,2025-06-11T00:00:00,FEE,PSE,186334,COP,FAILED
T0000262,C00387,L000442,2024-05-23T00:00:00,REPAYMENT,CARD,204671,COP,PENDING
T0000263,C00508,L000261,2024-11-11T00:00:00,REPAYMENT,PSE,214699,COP,PENDING
T0000264,C00054,L001110,2024-01-24T00:00:00,DISBURSEMENT,CARD,293659,COP,SETTLED
T0000265,C00147,L000425,2023-07-06T00:00:00,CHARGEBACK,CASH_NETWORK,220660,COP,SETTLED
T0000266,C00005,L000096,2023-01-21T00:00:00,FEE,TRANSFER,72885,COP,SETTLED
T0000267,C00408,L000513,2024-11-09T00:00:00,DISBURSEMENT,TRANSFER,206228,COP,PENDING
T0000268,C00327,L000762,2024-01-03T00:00:00,DISBURSEMENT,CASH_NETWORK,141835,COP,FAILED
T0000269,C00012,L001036,2023-04-09T00:00:00,FEE,PSE,143690,COP,SETTLED
T0000270,C00205,L000028,2025-02-24T00:00:00,FEE,PSE,387985,COP,SETTLED
