loan_id,customer_id,application_ts,decision_ts,product_type,channel,requested_amount,currency,term_months,declared_monthly_income,apr,credit_score,risk_band,decision_status
L000024,C00137,2024-06-25T00:00:00,2024-07-02T00:00:00,PERSONAL_LOAN,APP,904130,COP,36,4810015,0.24,742,B,APPROVED
L000025,C00230,2024-04-16T00:00:00,2024-04-26T00:00:00,MICROLOAN,WEB,577270,COP,9,3438753,0.508,662,D,APPROVED
L000026,C00273,2024-04-14T00:00:00,2024-04-18T00:00:00,PERSONAL_LOAN,PARTNER,1455583,COP,9,6663979,0.627,591,E,PENDING
L000027,C00484,2023-02-24T00:00:00,2023-02-28T00:00:00,PERSONAL_LOAN,APP,272775,COP,3,5794263,0.381,721,E,APPROVED
L000028,C00226,2023-08-07T00:00:00,2023-08-15T00:00:00,BNPL,APP,2306651,COP,18,1586332,0.478,571,C,APPROVED
L000029,C00390,2023-01-27T00:00:00,2023-02-02T00:00:00,PERSONAL_LOAN,PARTNER,3468135,COP,6,6158255,0.43,723,B,APPROVED
L000030,C00079,2023-08-17T00:00:00,2023-08-30T00:00:00,PERSONAL_LOAN,PARTNER,1926067,COP,36,4352609,0.442,671,D,APPROVED
L000031,C00023,2024-01-11T00:00:00,2024-01-19T00:00:00,BNPL,PARTNER,1442046,COP,12,4643736,0.202,571,E,APPROVED
L000032,C00025,2024-09-11T00:00:00,2024-09-15T00:00:00,MICROLOAN,APP,1860717,COP,6,3529709,0.287,714,B,APPROVED
L000033,C00497,2023-03-08T00:00:00,2023-03-20T00:00:00,MICROLOAN,APP,4790548,COP,9,2233017,0.388,592,D,PENDING
L000034,C00286,2024-03-06T00:00:00,2024-03-15T00:00:00,BNPL,APP,-325460,COP,9,3126629,0.466,712,E,REJECTED
L000035,C00277,2024-05-03T00:00:00,2024-05-14T00:00:00,PERSONAL_LOAN,WEB,1779164,COP,3,4561929,0.378,588,A,REJECTED
L000036,C00054,2025-02-07T00:00:00,2025-02-13T00:00:00,MICROLOAN,WEB,-170435,COP,18,1536812,0.494,655,C,APPROVED
L000037,C00489,2023-03-27T00:00:00,2023-04-06T00:00:00,PERSONAL_LOAN,APP,1883857,COP,24,1294404,0.364,684,C,PENDING
L000038,C00196,2024-05-13T00:00:00,2024-05-24T00:00:00,PERSONAL_LOAN,WEB,2514833,COP,6,726068,0.218,617,B,PENDING
L000039,C00004,2023-08-10T00:00:00,2023-08-12T00:00:00,MICROLOAN,PARTNER,2589977,COP,3,6065974,0.458,570,A,APPROVED
L000040,C00099,2023-10-18T00:00:00,2023-10-22T00:00:00,MICROLOAN,APP,3268362,COP,3,2049078,0.556,637,E,REJECTED
L000041,C00151,2024-09-10T00:00:00,2024-09-21T00:00:00,PERSONAL_LOAN,APP,3046243,COP,6,3890531,0.428,647,A,REJECTED
L000042,C00015,2023-02-05T00:00:00,2023-02-08T00:00:00,PERSONAL_LOAN,PARTNER,3232156,COP,6,3421788,0.599,678,C,PENDING
L000043,C00071,2024-07-01T00:00:00,2024-07-13T00:00:00,MICROLOAN,WEB,1426860,COP,9,-477900,0.35,553,E,PENDING
L000044,C00504,2023-06-30T00:00:00,2023-07-07T00:00:00,BNPL,APP,2945185,COP,36,4584235,0.452,644,C,REJECTED
L000045,C00179,2023-10-31T00:00:00,2023-11-05T00:00:00,MICROLOAN,WEB,4557177,COP,12,5277181,0.261,569,E,PENDING
L000046,C00094,2024-11-05T00:00:00,2024-11-11T00:00:00,BNPL,APP,2310374,COP,9,4508950,0.272,636,D,APPROVED
L000047,C00396,2023-03-24T00:00:00,2023-04-06T00:00:00,MICROLOAN,WEB,2795533,COP,36,4388700,0.431,542,C,REJECTED
L000048,C00328,2023-05-11T00:00:00,2023-05-22T00:00:00,MICROLOAN,APP,2994227,COP,6,7980657,0.603,544,A,PENDING
L000049,C00502,2024-04-12T00:00:00,2024-04-12T00:00:00,MICROLOAN,WEB,3110941,COP,36,5914008,0.21,640,C,PENDING
L000050,C00348,2024-06-09T00:00:00,2024-06-17T00:00:00,BNPL,PARTNER,3537494,COP,3,2881518,0.574,699,B,APPROVED
L000051,C00174,2024-05-04T00:00:00,2024-05-13T00:00:00,PERSONAL_LOAN,WEB,2400890,COP,36,4229432,0.642,582,C,PENDING
L000052,C00411,2024-05-21T00:00:00,2024-05-22T00:00:00,BNPL,PARTNER,2964995,COP,3,4382663,0.648,565,A,REJECTED
L000053,C00501,2025-02-08T00:00:00,2025-02-09T00:00:00,BNPL,WEB,2689520,COP,36,2484236,0.212,635,C,PENDING
L000054,C00008,2025-02-26T00:00:00,2025-03-10T00:00:00,PERSONAL_LOAN,PARTNER,2578926,COP,36,3806609,0.332,681,E,REJECTED
L000055,C00006,2023-09-03T00:00:00,2023-09-07T00:00:00,PERSONAL_LOAN,PARTNER,2884350,COP,18,3161199,0.5,673,E,PENDING
L000056,C00417,2024-08-15T00:00:00,2024-08-17T00:00:00,MICROLOAN,PARTNER,4527787,COP,6,5915928,0.494,680,D,APPROVED
L000057,C00429,2023-05-13T00:00:00,2023-05-18T00:00:00,MICROLOAN,PARTNER,986651,COP,36,3110889,0.55,668,D,PENDING
L000058,C00024,2023-10-14T00:00:00,2023-10-24T00:00:00,PERSONAL_LOAN,PARTNER,3605596,COP,9,2254122,0.628,766,A,PENDING
L000059,C00033,2023-02-09T00:00:00,2023-02-23T00:00:00,MICROLOAN,WEB,2031074,COP,18,3307019,0.537,652,E,APPROVED
L000060,C00108,2023-06-04T00:00:00,2023-06-05T00:00:00,MICROLOAN,APP,5541991,COP,24,3841561,0.412,515,C,REJECTED
L000061,C00106,2023-01-14T00:00:00,2023-01-14T00:00:00,MICROLOAN,APP,3974578,COP,12,4224167,0.53,728,A,PENDING
L000062,C00220,2024-10-11T00:00:00,2024-10-18T00:00:00,MICROLOAN,PARTNER,3308827,COP,18,6952695,0.47,771,A,PENDING
L000063,C00189,2024-10-19T00:00:00,2024-10-30T00:00:00,BNPL,APP,3625598,COP,12,3484432,0.294,685,C,REJECTED
L000064,C00187,2023-09-12T00:00:00,2023-09-15T00:00:00,BNPL,PARTNER,2936664,COP,3,4552689,0.438,501,B,APPROVED
L000065,C00168,2024-11-19T00:00:00,2024-11-20T00:00:00,PERSONAL_LOAN,WEB,4599704,COP,6,5533245,0.399,528,E,APPROVED
L000066,C00512,2024-02-14T00:00:00,2024-02-17T00:00:00,PERSONAL_LOAN,PARTNER,588429,COP,12,3579541,0.563,535,C,PENDING
L000067,C00512,2025-02-27T00:00:00,2025-03-05T00:00:00,BNPL,PARTNER,3221324,COP,6,2513313,0.242,494,D,REJECTED
L000068,C00484,2024-02-31T10:15:00,2024-12-21T00:00:00,PERSONAL_LOAN,WEB,2508861,COP,12,3803745,0.606,669,E,APPROVED
L000069,C00220,2024-03-27T00:00:00,2024-04-01T00:00:00,MICROLOAN,PARTNER,2843433,COP,18,5303657,0.537,675,C,REJECTED
L000070,C00101,2024-05-01T00:00:00,2024-05-08T00:00:00,MICROLOAN,PARTNER,1723889,COP,12,4441183,0.57,680,C,APPROVED
L000071,C00104,2023-09-24T00:00:00,2023-10-05T00:00:00,PERSONAL_LOAN,PARTNER,2135278,COP,3,2909342,0.499,518,C,PENDING
L000072,C00392,2024-01-24T00:00:00,2024-01-31T00:00:00,MICROLOAN,APP,2777856,COP,18,5029406,0.275,801,C,REJECTED
L000073,C00093,2023-09-06T00:00:00,2023-09-12T00:00:00,PERSONAL_LOAN,APP,1449868,COP,6,1711367,0.519,772,E,PENDING
L000074,C00415,2023-12-25T00:00:00,2023-12-30T00:00:00,BNPL,PARTNER,3220894,COP,3,1887040,0.297,621,E,PENDING
L000075,C00364,2024-02-14T00:00:00,2024-02-25T00:00:00,MICROLOAN,APP,4224710,COP,36,4686039,0.336,669,A,APPROVED
L000076,C00349,2024-05-06T00:00:00,2024-05-14T00:00:00,PERSONAL_LOAN,APP,1765834,COP,6,175406,0.421,741,B,APPROVED
L000077,C00450,2023-03-01T00:00:00,2023-03-03T00:00:00,MICROLOAN,APP,2524369,COP,3,1709118,0.307,731,D,APPROVED
L000078,C00431,2023-04-29T00:00:00,2023-05-05T00:00:00,MICROLOAN,WEB,2700082,COP,3,2065476,0.283,399,A,APPROVED
L000079,C00196,2025-01-28T00:00:00,2025-02-08T00:00:00,PERSONAL_LOAN,PARTNER,5584386,COP,9,784927,0.191,649,D,PENDING
L000080,C00158,2023-12-03T00:00:00,2023-12-03T00:00:00,MICROLOAN,APP,3743649,COP,12,4350411,0.421,713,E,PENDING
L000081,C00461,2025-01-09T00:00:00,2025-01-12T00:00:00,BNPL,PARTNER,6315837,COP,36,3772424,0.484,513,D,REJECTED
L000082,C00206,2025-02-22T00:00:00,2025-03-04T00:00:00,MICROLOAN,APP,3876853,COP,9,1096177,0.516,652,A,APPROVED
L000083,C00085,2023-06-20T00:00:00,2023-06-22T00:00:00,PERSONAL_LOAN,APP,2550857,COP,3,2894975,0.236,686,B,REJECTED
L000084,C00203,2023-03-02T00:00:00,2023-03-04T00:00:00,BNPL,WEB,361921,COP,36,5542158,0.263,740,E,APPROVED
L000085,C00063,2025-02-15T00:00:00,2025-02-19T00:00:00,BNPL,APP,3284419,COP,24,4437297,0.549,504,B,APPROVED
L000086,C00399,2023-10-10T00:00:00,2023-10-17T00:00:00,BNPL,APP,1616790,COP,9,3266323,0.254,675,C,PENDING
L000087,C00055,2025-01-29T00:00:00,2025-01-30T00:00:00,BNPL,PARTNER,3878194,COP,12,1929706,0.423,582,C,PENDING
L000088,C00224,2024-02-23T00:00:00,2024-02-23T00:00:00,MICROLOAN,WEB,2886149,COP,36,-2635681,0.575,695,A,REJECTED
L000089,C00493,2025-01-28T00:00:00,2025-01-28T00:00:00,PERSONAL_LOAN,APP,4812843,COP,18,2874623,0.245,611,A,PENDING
L000090,C00204,2024-10-13T00:00:00,2024-10-19T00:00:00,MICROLOAN,WEB,2374018,COP,24,3769071,0.473,696,C,APPROVED
L000091,C00337,2024-08-28T00:00:00,2024-08-30T00:00:00,PERSONAL_LOAN,APP,3832469,COP,6,8069269,0.429,659,C,PENDING
L000092,C00118,2024-05-09T00:00:00,2024-05-12T00:00:00,PERSONAL_LOAN,APP,4072515,COP,3,2421444,0.545,527,B,APPROVED
L000093,C00314,2023-07-11T00:00:00,2023-07-15T00:00:00,PERSONAL_LOAN,WEB,1878639,COP,9,3399313,0.531,692,A,PENDING
L000094,C00272,2023-09-03T00:00:00,2023-09-11T00:00:00,PERSONAL_LOAN,WEB,1626423,COP,3,5974547,0.564,652,E,PENDING
L000095,C00343,2023-07-17T00:00:00,2023-07-17T00:00:00,BNPL,WEB,3849919,COP,9,1712011,0.325,831,C,PENDING
L000096,C00237,2023-06-30T00:00:00,2023-07-08T00:00:00,BNPL,PARTNER,1569268,COP,18,4238663,0.488,538,D,REJECTED
L000097,C00384,2023-06-30T00:00:00,2023-07-10T00:00:00,MICROLOAN,APP,3841401,COP,9,2940367,0.564,573,E,PENDING
L000098,C00281,2024-01-08T00:00:00,2024-01-11T00:00:00,MICROLOAN,PARTNER,1825157,COP,6,1680141,0.353,687,A,PENDING
L000099,C00235,2024-12-18T00:00:00,2024-12-23T00:00:00,MICROLOAN,PARTNER,3560079,COP,6,4887865,0.201,671,B,PENDING
L000100,C00147,2023-06-16T00:00:00,2023-06-25T00:00:00,BNPL,PARTNER,3026156,COP,9,4115043,0.494,543,D,APPROVED
L000101,C00014,2024-11-10T00:00:00,2024-11-10T00:00:00,BNPL,WEB,2254876,COP,12,97329,0.326,727,A,REJECTED
L000102,C00312,2023-06-26T00:00:00,2023-06-29T00:00:00,MICROLOAN,APP,2030562,COP,3,2530318,0.472,666,D,APPROVED
L000103,C00374,2023-08-23T00:00:00,2023-08-28T00:00:00,BNPL,WEB,1526444,COP,24,3185126,0.648,724,E,PENDING
L000104,C00085,2024-06-21T00:00:00,2024-06-24T00:00:00,BNPL,APP,2458412,COP,24,931951,0.255,627,A,APPROVED
L000105,C00021,2024-12-17T00:00:00,2024-12-24T00:00:00,BNPL,WEB,3075679,COP,9,6090335,0.338,726,E,APPROVED
L000106,C00318,2024-06-20T00:00:00,2024-06-25T00:00:00,PERSONAL_LOAN,WEB,3183649,COP,18,3433927,0.627,735,C,PENDING
L000107,C00389,2024-05-25T00:00:00,2024-05-26T00:00:00,PERSONAL_LOAN,WEB,754446,COP,24,1985371,0.607,712,A,REJECTED
L000108,C00188,2023-03-14T00:00:00,2023-03-19T00:00:00,BNPL,PARTNER,3864242,COP,36,5867425,0.585,746,E,PENDING
L000109,C00481,2024-02-06T00:00:00,2024-02-12T00:00:00,BNPL,WEB,3079162,COP,36,2406447,0.414,627,B,PENDING
L000110,C00177,2025-02-14T00:00:00,2025-02-26T00:00:00,PERSONAL_LOAN,WEB,3052890,COP,24,7132056,0.537,845,D,APPROVED
L000111,C00205,2024-12-27T00:00:00,2024-12-27T00:00:00,BNPL,PARTNER,2526976,COP,24,1197097,0.208,609,E,REJECTED
L000112,C00156,2023-12-18T00:00:00,2023-12-30T00:00:00,MICROLOAN,WEB,4037476,COP,6,5584800,0.64,621,C,REJECTED
L000113,C00251,2024-08-01T00:00:00,2024-08-02T00:00:00,BNPL,PARTNER,2428174,COP,6,4908532,0.589,679,C,PENDING
L000114,C00226,2024-07-27T00:00:00,2024-07-28T00:00:00,MICROLOAN,PARTNER,3576633,COP,12,3077361,0.353,786,C,PENDING
L000115,C00178,2023-07-25T00:00:00,2023-07-26T00:00:00,PERSONAL_LOAN,APP,2198547,COP,24,5636404,0.592,632,A,APPROVED
L000116,C00014,2023-05-17T00:00:00,2023-05-21T00:00:00,BNPL,APP,4508769,COP,36,4280784,0.393,654,A,APPROVED
L000117,C00511,2024-08-16T00:00:00,2024-08-27T00:00:00,PERSONAL_LOAN,APP,2305438,COP,9,3743766,0.225,630,A,PENDING
L000118,C00059,2023-12-10T00:00:00,2023-12-17T00:00:00,BNPL,APP,1461546,COP,3,4789935,0.579,779,A,PENDING
L000119,C00072,2023-07-27T00:00:00,2023-07-27T00:00:00,PERSONAL_LOAN,WEB,3189225,COP,36,3223609,0.448,675,D,PENDING
L000120,C00004,2023-03-28T00:00:00,2023-04-10T00:00:00,PERSONAL_LOAN,APP,2665304,COP,9,4313460,0.253,630,D,REJECTED
L000121,C00221,2024-10-17T00:00:00,2024-10-21T00:00:00,BNPL,WEB,5752656,COP,12,1332139,0.286,573,B,REJECTED
L000122,C00334,2024-04-11T00:00:00,2024-04-13T00:00:00,PERSONAL_LOAN,PARTNER,3574936,COP,18,4564255,0.186,692,C,APPROVED
L000123,C00490,2023-03-22T00:00:00,2023-04-03T00:00:00,BNPL,APP,2207052,COP,6,3463829,0.348,557,A,REJECTED
L000124,C00176,2023-03-26T00:00:00,2023-04-07T00:00:00,PERSONAL_LOAN,WEB,3416929,COP,3,3941638,0.449,502,D,APPROVED
L000125,C00162,2025-01-14T00:00:00,2025-01-15T00:00:00,PERSONAL_LOAN,APP,3295858,COP,18,-1501605,0.294,504,A,APPROVED
L000126,C00388,2023-01-28T00:00:00,2023-02-07T00:00:00,BNPL,PARTNER,1433698,COP,24,5388026,0.47,468,E,PENDING
L000127,C00149,2023-05-20T00:00:00,2023-06-03T00:00:00,BNPL,APP,330204,COP,9,4268184,0.48,660,A,APPROVED
L000128,C00169,2024-02-28T00:00:00,2024-03-07T00:00:00,MICROLOAN,APP,3436649,COP,12,892955,0.573,617,C,REJECTED
L000129,C00055,2024-11-28T00:00:00,2024-12-12T00:00:00,PERSONAL_LOAN,WEB,4413924,COP,6,3378783,0.353,747,D,PENDING
L000130,C00416,2024-05-02T00:00:00,2024-05-03T00:00:00,PERSONAL_LOAN,PARTNER,2398012,COP,36,3717868,0.627,685,C,APPROVED
L000131,C00151,2023-02-28T00:00:00,2023-03-11T00:00:00,PERSONAL_LOAN,WEB,2260144,COP,36,3408997,0.586,650,B,APPROVED
L000132,C00519,2023-07-01T00:00:00,2023-07-01T00:00:00,BNPL,APP,1822591,COP,18,2503222,0.341,589,D,PENDING
L000133,C00199,2023-07-15T00:00:00,2023-07-19T00:00:00,BNPL,WEB,2252080,COP,3,4767941,0.235,695,C,APPROVED
L000134,C00299,2023-09-21T00:00:00,2023-09-30T00:00:00,MICROLOAN,PARTNER,1922271,COP,6,3825727,0.335,480,B,REJECTED
L000135,C00451,2023-08-04T00:00:00,2023-08-18T00:00:00,MICROLOAN,APP,2791621,COP,6,2934903,0.389,532,A,APPROVED
L000136,C00027,2024-08-18T00:00:00,2024-08-20T00:00:00,MICROLOAN,APP,4436129,COP,36,3865699,0.468,668,C,REJECTED
L000137,C00087,2023-11-10T00:00:00,2023-11-21T00:00:00,BNPL,WEB,3536852,COP,18,4592119,0.525,693,E,APPROVED
L000138,C00160,2023-08-17T00:00:00,2023-08-27T00:00:00,PERSONAL_LOAN,APP,793925,COP,9,3160747,0.379,518,B,PENDING
L000139,C00322,2024-02-31T10:15:00,2024-03-15T00:00:00,PERSONAL_LOAN,PARTNER,3416006,COP,3,3584557,0.618,571,B,PENDING
L000140,C00512,2023-01-05T00:00:00,2023-01-13T00:00:00,BNPL,APP,686532,COP,18,5416046,0.599,642,A,REJECTED
L000141,C00455,2024-05-19T00:00:00,2024-05-28T00:00:00,MICROLOAN,APP,2323940,COP,3,4604453,0.641,689,E,REJECTED
L000142,C00172,2024-03-19T00:00:00,2024-03-24T00:00:00,BNPL,WEB,1727493,COP,36,5038411,0.646,677,B,PENDING
L000143,C00121,2024-04-12T00:00:00,2024-04-17T00:00:00,PERSONAL_LOAN,PARTNER,4227931,COP,24,4201652,0.197,599,A,PENDING
L000144,C00473,2023-11-03T00:00:00,2023-11-15T00:00:00,BNPL,APP,3152568,COP,3,2046961,0.522,820,D,REJECTED
L000145,C00290,2023-04-13T00:00:00,2023-04-16T00:00:00,MICROLOAN,APP,886726,COP,12,1079459,0.575,645,E,REJECTED
L000146,C00218,2024-11-25T00:00:00,2024-11-27T00:00:00,PERSONAL_LOAN,PARTNER,1859638,COP,12,4995122,0.375,591,D,PENDING
L000147,C00089,2024-04-23T00:00:00,2024-04-25T00:00:00,MICROLOAN,PARTNER,1063534,COP,36,7080847,0.418,701,E,PENDING
L000148,C00131,2023-08-16T00:00:00,2023-08-18T00:00:00,BNPL,APP,1237686,COP,9,3079015,0.316,608,C,PENDING
L000149,C00364,2023-04-26T00:00:00,2023-05-08T00:00:00,BNPL,WEB,2686557,COP,12,4398240,0.296,678,E,REJECTED
L000150,C00487,2024-06-09T00:00:00,2024-06-17T00:00:00,BNPL,WEB,3363130,COP,9,1424572,0.385,563,E,REJECTED
L000151,C00073,2024-12-23T00:00:00,2024-12-26T00:00:00,BNPL,WEB,3454551,COP,36,4022090,0.42,442,D,APPROVED
L000152,C00137,2024-11-05T00:00:00,2024-11-12T00:00:00,MICROLOAN,APP,1426873,COP,12,7193262,0.384,585,A,PENDING
L000153,C00241,2025-01-27T00:00:00,2025-02-03T00:00:00,MICROLOAN,APP,2934549,COP,18,1517737,0.345,540,C,APPROVED
L000154,C00096,2024-05-06T00:00:00,2024-05-12T00:00:00,MICROLOAN,WEB,3353756,COP,12,6761661,0.446,667,C,APPROVED
L000155,C00071,2023-01-18T00:00:00,2023-01-20T00:00:00,PERSONAL_LOAN,APP,2097953,COP,3,2566078,0.259,731,D,APPROVED
L000156,C00347,2023-07-21T00:00:00,2023-08-04T00:00:00,PERSONAL_LOAN,WEB,1488625,COP,24,5297242,0.358,624,D,APPROVED
L000157,C00240,2023-05-26T00:00:00,2023-05-29T00:00:00,PERSONAL_LOAN,APP,1828077,COP,9,6636164,0.609,663,A,PENDING
L000158,C00272,2025-02-18T00:00:00,2025-02-27T00:00:00,MICROLOAN,PARTNER,5435174,COP,24,5849018,0.295,628,D,APPROVED
L000159,C00172,2023-12-22T00:00:00,2023-12-24T00:00:00,PERSONAL_LOAN,PARTNER,2675046,COP,36,2237793,0.393,766,C,PENDING
L000160,C00124,2023-05-26T00:00:00,2023-05-27T00:00:00,PERSONAL_LOAN,PARTNER,1146223,COP,18,2630314,0.193,809,C,PENDING
L000161,C00290,2023-02-23T00:00:00,2023-02-26T00:00:00,MICROLOAN,APP,3633186,COP,6,3024141,0.197,533,C,PENDING
L000162,C00162,2024-06-07T00:00:00,2024-06-10T00:00:00,PERSONAL_LOAN,PARTNER,3089265,COP,9,5814795,0.542,638,A,PENDING
L000163,C00120,2024-08-20T00:00:00,2024-08-25T00:00:00,PERSONAL_LOAN,PARTNER,3570277,COP,18,853611,0.444,648,E,PENDING
L000164,C00418,2023-06-16T00:00:00,2023-06-30T00:00:00,BNPL,PARTNER,-1526,COP,18,3254347,0.518,783,A,REJECTED
L000165,C00144,2024-11-07T00:00:00,2024-11-20T00:00:00,MICROLOAN,APP,4854406,COP,12,3422706,0.554,613,D,APPROVED
L000166,C00002,2025-01-08T00:00:00,2025-01-17T00:00:00,BNPL,APP,1686989,COP,3,-208952,0.276,598,E,PENDING
L000167,C00328,2023-09-25T00:00:00,2023-10-05T00:00:00,PERSONAL_LOAN,APP,1084033,COP,6,3132153,0.579,817,B,REJECTED
L000168,C00041,2023-01-28T00:00:00,2023-02-07T00:00:00,BNPL,APP,2074662,COP,24,1638156,0.627,672,C,APPROVED
L000169,C00252,2023-04-20T00:00:00,2023-04-30T00:00:00,PERSONAL_LOAN,APP,2587087,COP,36,2640646,0.512,693,E,APPROVED
L000170,C00356,2024-05-21T00:00:00,2024-05-30T00:00:00,MICROLOAN,PARTNER,-700300,COP,24,3379780,0.587,756,B,APPROVED
L000171,C00057,2024-04-25T00:00:00,2024-05-03T00:00:00,BNPL,PARTNER,2123889,COP,9,1337264,0.452,669,E,APPROVED
L000172,C00248,2023-02-24T00:00:00,2023-02-27T00:00:00,BNPL,PARTNER,2908334,COP,3,2117967,0.419,441,D,APPROVED
L000173,C00266,2024-10-29T00:00:00,2024-11-09T00:00:00,BNPL,PARTNER,2543732,COP,6,5022215,0.338,619,E,APPROVED
L000174,C00212,2024-04-06T00:00:00,2024-04-16T00:00:00,MICROLOAN,PARTNER,758256,COP,36,3912529,0.594,787,A,PENDING
L000175,C00491,2023-11-22T00:00:00,2023-11-26T00:00:00,BNPL,PARTNER,2294079,COP,9,5038927,0.522,632,E,APPROVED
L000176,C00312,2024-05-06T00:00:00,2024-05-19T00:00:00,BNPL,WEB,2333305,COP,9,5027131,0.309,590,B,REJECTED
L000177,C00410,2023-03-23T00:00:00,2023-03-30T00:00:00,MICROLOAN,APP,4288529,COP,36,2003541,0.481,634,D,PENDING
L000178,C00179,2023-12-08T00:00:00,2023-12-09T00:00:00,PERSONAL_LOAN,APP,543210,COP,9,6039373,0.383,732,D,PENDING
L000179,C00055,2023-10-31T00:00:00,2023-11-08T00:00:00,MICROLOAN,WEB,1749394,COP,18,5683621,0.511,666,E,APPROVED
L000180,C00313,2024-05-22T00:00:00,2024-05-25T00:00:00,PERSONAL_LOAN,WEB,2153736,COP,3,3484938,0.317,722,A,PENDING
L000181,C00195,2024-02-10T00:00:00,2024-02-20T00:00:00,MICROLOAN,PARTNER,4282187,COP,9,2931498,0.534,710,D,PENDING
L000182,C00146,2023-05-29T00:00:00,2023-06-11T00:00:00,PERSONAL_LOAN,APP,2142510,COP,6,3445957,0.639,596,D,PENDING
L000183,C00440,2023-11-27T00:00:00,2023-11-29T00:00:00,BNPL,PARTNER,2512344,COP,6,5056253,0.243,794,C,REJECTED
L000184,C00193,2023-02-22T00:00:00,2023-03-05T00:00:00,MICROLOAN,APP,2214779,COP,18,3192142,0.442,567,D,APPROVED
L000185,C00346,2024-11-24T00:00:00,2024-11-26T00:00:00,BNPL,PARTNER,3862995,COP,12,3440373,0.427,748,D,PENDING
L000186,C00029,2023-04-04T00:00:00,2023-04-14T00:00:00,PERSONAL_LOAN,APP,4006458,COP,12,1964438,0.485,795,E,PENDING
L000187,C00380,2023-11-29T00:00:00,2023-11-29T00:00:00,BNPL,WEB,2178847,COP,18,4793026,0.625,604,C,PENDING
L000188,C00044,2025-01-05T00:00:00,2025-01-07T00:00:00,MICROLOAN,WEB,3611872,COP,12,1411483,0.593,560,B,PENDING
L000189,C00263,2023-04-04T00:00:00,2023-04-09T00:00:00,PERSONAL_LOAN,APP,1824279,COP,6,4358815,0.548,598,A,REJECTED
